Trajectories
100
,,test2:hip_center,,,test2:hip_top,,,test2:hip_bottom,,,test2:knee,,,test2:heel,,,test2:toe,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
131,0,394.355,94.3153,-372.643,272.366,104.059,-369.115,466.895,76.7909,-394.289,325.275,-7.06844,-322.204,534.469,-65.2654,-408.86,515.401,-116.43,-356.841
132,0,394.361,94.3671,-372.575,272.387,104.073,-369.088,466.898,76.8189,-394.277,325.289,-7.05893,-322.22,534.478,-65.2475,-408.872,515.364,-116.35,-356.772
133,0,394.406,94.3187,-372.65,272.396,104.058,-369.105,466.921,76.7828,-394.359,325.34,-7.01727,-322.184,534.488,-65.2619,-408.9,515.398,-116.392,-356.828
134,0,394.409,94.3566,-372.597,272.406,104.051,-369.104,466.864,76.7638,-394.251,325.363,-7.03261,-322.186,534.509,-65.2397,-408.857,515.407,-116.378,-356.821
135,0,394.409,94.3217,-372.621,272.414,104.061,-369.122,466.889,76.7486,-394.376,325.336,-7.04953,-322.231,534.506,-65.2947,-408.904,515.408,-116.375,-356.829
136,0,394.386,94.3332,-372.661,272.389,104.067,-369.103,466.854,76.7874,-394.329,325.301,-7.06137,-322.246,534.479,-65.2776,-408.91,515.365,-116.375,-356.841
137,0,394.371,94.3474,-372.619,272.38,104.059,-369.086,466.842,76.818,-394.305,325.292,-7.06701,-322.222,534.468,-65.2463,-408.857,515.363,-116.373,-356.778
138,0,394.382,94.3172,-372.602,272.372,104.079,-369.109,466.891,76.8191,-394.322,325.281,-7.06995,-322.22,534.464,-65.2611,-408.859,515.349,-116.356,-356.813
139,0,394.389,94.3375,-372.621,272.383,104.061,-369.118,466.893,76.795,-394.35,325.311,-7.04923,-322.219,534.472,-65.2432,-408.867,515.395,-116.386,-356.842
140,0,394.389,94.3331,-372.645,272.389,104.08,-369.117,466.861,76.8124,-394.189,325.322,-7.04378,-322.23,534.485,-65.2982,-408.924,515.394,-116.402,-356.882
141,0,394.411,94.3477,-372.658,272.415,104.061,-369.121,466.865,76.7865,-394.22,325.371,-7.04175,-322.225,534.483,-65.2685,-408.901,515.376,-116.367,-356.79
142,0,394.405,94.3446,-372.594,272.403,104.033,-369.118,466.861,76.8171,-394.192,325.344,-7.0531,-322.172,534.5,-65.2514,-408.869,515.41,-116.376,-356.783
143,0,394.38,94.334,-372.622,272.37,104.079,-369.107,466.862,76.8362,-394.237,325.33,-7.03182,-322.164,534.481,-65.2297,-408.838,515.384,-116.38,-356.823
144,0,394.373,94.3432,-372.592,272.367,104.063,-369.072,466.879,76.8298,-394.283,325.312,-7.0558,-322.198,534.47,-65.2366,-408.819,515.383,-116.361,-356.798
