Trajectories
100
,,2-19-16:hip_center,,,2-19-16:hip_top,,,2-19-16:hip_bottom,,,2-19-16:knee,,,2-19-16:heel,,,2-19-16:toe,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
128,0,113.796,260.666,54.6796,0.220789,309.311,56.073,206.982,220.409,2.74909,85.5352,130.33,26.5794,178.276,79.3662,-38.813,103.66,39.4535,-18.4776
129,0,106.833,259.643,53.8251,-6.5283,307.998,56.7101,200.811,220.83,1.47791,81.7168,128.356,27.1314,180.93,85.4234,-38.5282,109.356,40.4219,-18.69
130,0,99.6225,258.592,52.3052,-13.5423,306.127,56.7069,194.464,221.439,-0.744949,77.7467,126.501,27.3594,182.712,91.1494,-38.3815,114.603,41.4648,-19.0976
131,0,92.2257,258.033,50.4559,-20.997,304.443,56.4996,187.686,222.502,-3.44795,73.707,124.988,27.5235,183.776,96.6832,-38.026,119.541,42.4693,-19.4154
132,0,84.4191,258.147,48.4799,-28.9597,303.385,56.2741,180.365,224.368,-6.20942,69.249,124.369,27.8643,184.036,102.307,-37.5813,124.094,43.4162,-19.4761
133,0,76.1794,258.954,46.3574,-37.5703,302.797,56.2374,171.972,227.119,-9.46985,64.0953,124.866,28.3185,182.879,108.012,-37.5046,127.665,44.4435,-19.4423
134,0,67.1173,260.022,43.8401,-46.9406,302.581,56.5321,162.193,230.175,-13.3548,57.8436,125.854,28.7996,180.518,113.872,-38.3283,130.8,45.6747,-19.4507
135,0,57.2712,261.528,41.1191,-56.5231,303.368,56.7198,151.692,233.003,-17.7691,50.932,127.082,28.7923,177.535,119.443,-40.5459,133.679,46.7777,-19.9765
136,0,47.9192,263.422,38.455,-65.2091,305.645,57.2035,141.419,235.024,-22.2954,43.8807,128.544,28.2551,174.499,124.2,-42.8402,136.513,47.3519,-20.5471
137,0,39.3449,265.315,35.8216,-73.2925,308.326,57.2345,131.582,236.35,-26.4961,36.6813,130.318,27.6358,172.142,127.761,-43.8072,140.069,47.2927,-20.6408
138,0,30.7731,267.271,33.0598,-81.1818,310.419,55.7667,122.105,237.469,-29.6955,30.0753,132.165,27.345,170.463,130.362,-44.6433,144.204,47.0457,-20.2834
139,0,22.5895,269.109,29.7425,-88.5386,312.35,52.6178,113.056,238.121,-32.2827,24.313,133.801,27.4508,168.449,132.43,-45.106,148.433,46.5063,-19.562
140,0,15.3689,271.241,25.2806,-95.222,314.698,47.7209,105.28,238.907,-34.8872,19.4476,135.773,27.2721,167.771,133.709,-45.6211,153.64,46.0409,-18.928
141,0,9.52403,273.846,19.5416,-101.158,317.336,41.3342,98.7922,239.984,-38.9463,15.9815,138.335,26.0026,168.118,134.641,-45.5487,159.058,45.7879,-18.4138
142,0,4.91198,276.64,13.0234,-106.089,321.173,34.2268,93.1711,240.49,-43.5681,13.1183,141.01,23.713,168.153,135.313,-44.6021,164.726,45.5312,-17.898
143,0,1.35876,279.067,7.12035,-110.277,326.525,27.4608,88.1946,239.681,-47.5485,9.11436,143.058,20.9515,166.184,135.825,-42.0233,169.983,45.5913,-17.7081
144,0,-2.02163,281.386,2.98754,-114.107,329.994,23.1721,84.2778,240.046,-50.4123,3.42002,145.218,19.2667,162.375,136.708,-37.8608,176.164,45.3021,-17.7901
145,0,-5.35418,284.501,-0.335674,-118.06,332.809,20.3126,80.6787,242.621,-53.1381,-2.59059,148.58,18.7928,155.663,139.18,-34.4798,180.689,46.9464,-18.2526
146,0,-9.19621,287.666,-2.6442,-122.242,335.233,18.118,77.6369,246.189,-54.5427,-8.7565,152.978,19.5337,145.625,144.493,-31.6069,181.631,52.2431,-18.8635
147,0,-12.8705,289.874,-4.26338,-126.607,338.894,10.8367,75.6908,248.821,-54.9455,-15.4633,157.532,21.8119,132.111,154.143,-30.2938,176.803,61.1705,-20.1628
