

Trajectories
100
,,two_spineMJ:spine_top,,,two_spineMJ:spine_bottom,,,two_spineMJ:hip_top,,,two_spineMJ:hip_bottom,,,two_spineMJ:hip_middle,,,two_spineMJ:knee,,,two_spineMJ:heel,,,two_spineMJ:foot_mid,,,two_spineMJ:toe,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
82,0,567.377,133.864,61.5558,671.554,91.5768,40.0199,491.119,103.847,121.504,667.184,45.8694,87.822,610.975,61.9812,115.126,516.189,-63.0605,144.557,701.031,-152.297,85.5683,706.803,-226.833,102.427,718.484,-305.906,102.115
83,0,567.407,133.873,61.5748,671.545,91.5705,40,491.113,103.843,121.46,667.201,45.8639,87.8583,610.958,61.9585,115.105,516.19,-63.0609,144.556,701.031,-152.297,85.5683,706.798,-226.834,102.449,718.502,-305.945,102.152
84,0,567.402,133.897,61.5916,671.544,91.5661,39.9971,491.112,103.835,121.517,667.165,45.8537,87.8276,610.975,61.9535,115.105,516.19,-63.0608,144.556,701.038,-152.279,85.6047,706.811,-226.862,102.424,718.502,-305.918,102.132
85,0,567.401,133.883,61.5805,671.539,91.5894,40.0116,491.114,103.837,121.489,667.202,45.8631,87.8322,610.974,61.983,115.125,516.189,-63.0589,144.558,701.032,-152.276,85.6383,706.798,-226.85,102.45,718.502,-305.919,102.134
86,0,567.39,133.866,61.578,671.544,91.5675,39.9974,491.098,103.848,121.482,667.182,45.8707,87.8654,610.957,61.9863,115.15,516.205,-63.076,144.564,701.058,-152.286,85.6227,706.816,-226.821,102.487,718.501,-305.918,102.107
87,0,567.409,133.853,61.5952,671.536,91.5828,40.0412,491.132,103.836,121.509,667.201,45.8645,87.9128,610.958,61.9566,115.178,516.211,-63.1007,144.578,701.058,-152.286,85.6225,706.799,-226.831,102.458,718.506,-305.92,102.107
88,0,567.407,133.873,61.5748,671.555,91.5578,40.0178,491.122,103.827,121.51,667.223,45.8777,87.9214,610.974,61.9514,115.179,516.205,-63.0735,144.564,701.057,-152.281,85.5919,706.833,-226.852,102.339,718.523,-305.931,102.063
89,0,567.405,133.87,61.5745,671.539,91.5652,40.0433,491.124,103.83,121.477,667.185,45.8463,87.816,610.961,61.9764,115.192,516.189,-63.0964,144.533,701.058,-152.285,85.5354,706.818,-226.842,102.35,718.545,-305.942,102.01
90,0,567.39,133.84,61.5319,671.513,91.5529,39.9873,491.113,103.785,121.426,667.185,45.8463,87.816,610.957,61.9564,115.131,516.193,-63.0958,144.508,701.041,-152.274,85.5458,706.807,-226.827,102.337,718.545,-305.942,102.012
91,0,567.388,133.845,61.5025,671.527,91.5532,39.931,491.095,103.805,121.434,667.184,45.847,87.8211,610.956,61.9566,115.131,516.193,-63.0958,144.508,701.041,-152.274,85.5462,706.806,-226.826,102.331,718.527,-305.93,102.029
92,0,567.387,133.832,61.5302,671.526,91.576,40.0201,491.108,103.798,121.41,667.185,45.8463,87.816,610.974,61.983,115.125,516.192,-63.0945,144.508,701.042,-152.275,85.5447,706.8,-226.819,102.346,718.511,-305.92,102.042
93,0,567.407,133.857,61.5677,671.542,91.5819,40.0491,491.113,103.8,121.448,667.186,45.8461,87.8127,610.939,61.9399,115.085,516.198,-63.1132,144.472,701.084,-152.298,85.5518,706.828,-226.852,102.337,718.551,-305.968,101.998
94,0,567.406,133.858,61.5657,671.557,91.5871,40.0147,491.112,103.801,121.449,667.189,45.8144,87.739,610.976,61.9493,115.13,516.197,-63.1169,144.493,701.085,-152.292,85.5199,706.814,-226.838,102.337,718.533,-305.935,102.003
95,0,567.405,133.856,61.5652,671.547,91.5682,39.9504,491.108,103.845,121.454,667.187,45.8449,87.7615,610.958,61.9571,115.13,516.174,-63.0812,144.527,701.063,-152.291,85.5017,706.8,-226.834,102.312,718.507,-305.929,101.958
96,0,567.395,133.881,61.5349,671.566,91.5628,39.9295,491.106,103.82,121.4,667.202,45.8627,87.816,610.974,61.9802,115.103,516.191,-63.0766,144.521,701.041,-152.279,85.5432,706.796,-226.845,102.292,718.47,-305.947,102.01
97,0,567.393,133.879,61.5325,671.551,91.5429,39.8951,491.076,103.837,121.435,667.187,45.8449,87.7615,610.956,61.9871,115.151,516.177,-63.1137,144.478,701.027,-152.306,85.5392,706.793,-226.868,102.302,718.45,-305.937,102.082
98,0,567.391,133.884,61.5029,671.551,91.5448,39.895,491.075,103.835,121.461,667.187,45.8449,87.7615,610.974,61.9809,115.151,516.173,-63.1153,144.504,701.017,-152.323,85.5305,706.775,-226.842,102.407,718.452,-305.927,102.14
99,0,567.407,133.873,61.4801,671.574,91.5723,39.9477,491.121,103.823,121.41,667.207,45.8821,87.8248,611.013,61.9891,115.139,516.205,-63.0836,144.52,701.03,-152.311,85.56,706.776,-226.846,102.383,718.432,-305.926,102.065
100,0,567.439,133.885,61.5021,671.577,91.5647,39.9813,491.148,103.871,121.456,667.21,45.8814,87.8248,611.014,61.9881,115.091,516.232,-63.0538,144.571,701.026,-152.283,85.5765,706.789,-226.862,102.37,718.472,-305.948,102.029
101,0,567.428,133.863,61.5388,671.576,91.5691,39.9809,491.154,103.823,121.484,667.204,45.8621,87.8108,610.994,61.9468,115.105,516.225,-63.0918,144.574,701.066,-152.331,85.5244,706.815,-226.867,102.321,718.488,-305.947,102.076
102,0,567.423,133.842,61.4882,671.576,91.5691,39.9809,491.148,103.823,121.516,667.206,45.8614,87.8054,610.993,61.976,115.126,516.21,-63.1047,144.514,701.051,-152.307,85.5875,706.793,-226.859,102.384,718.45,-305.936,102.074
103,0,567.403,133.868,61.535,671.559,91.5805,39.9916,491.13,103.837,121.493,667.186,45.8898,87.8375,610.979,61.9713,115.118,516.205,-63.0846,144.52,701.014,-152.285,85.5783,706.783,-226.838,102.365,718.45,-305.934,102.039
